ticker,date1,sentiment
BTC,2022-03-19,0.24161
BTC,2022-03-18,0.207
BTC,2022-03-17,0.1967
BTC,2022-03-16,0.27773
BTC,2022-03-15,0.35003
BTC,2022-03-14,0.23237
BTC,2022-03-13,0.21416
BTC,2022-03-12,0.27347
BTC,2022-03-11,0.21391
BTC,2022-03-10,0.22613
BTC,2022-03-09,0.20256
BTC,2022-03-08,0.16643
BTC,2022-03-07,0.11522
BTC,2022-03-06,0.18625
BTC,2022-03-05,0.13442
BTC,2022-03-04,0.15307
BTC,2022-03-03,0.18642
BTC,2022-03-02,0.17455
BTC,2022-03-01,0.18143
BTC,2022-02-28,0.12767
BTC,2022-02-27,0.1181
BTC,2022-02-26,0.11465
BTC,2022-02-25,0.13108
BTC,2022-02-24,-0.01807
BTC,2022-02-23,0.15408
BTC,2022-02-22,0.08133
BTC,2022-02-21,0.10813
BTC,2022-02-20,0.10308
BTC,2022-02-19,0.11037
BTC,2022-02-18,0.08503
BTC,2022-02-17,0.15741
BTC,2022-02-16,0.14692
BTC,2022-02-15,0.10598
BTC,2022-02-14,0.1388
BTC,2022-02-13,0.22219
BTC,2022-02-12,0.2132
BTC,2022-02-11,0.21235
BTC,2022-02-10,0.21115
BTC,2022-02-09,0.18792
BTC,2022-02-08,0.22727
BTC,2022-02-07,0.23192
BTC,2022-02-06,0.21115
BTC,2022-02-05,0.26605
BTC,2022-02-04,0.23237
BTC,2022-02-03,0.15492
BTC,2022-02-02,0.19472
BTC,2022-02-01,0.16048
BTC,2022-01-31,0.18631
BTC,2022-01-30,0.19503
BTC,2022-01-29,0.22618
