ticker,date1,volume
BTC,2022-03-20 06:00:00,2369
BTC,2022-03-20 05:00:00,3135
BTC,2022-03-20 04:00:00,3418
BTC,2022-03-20 03:00:00,3231
BTC,2022-03-20 02:00:00,3673
BTC,2022-03-20 01:00:00,3444
BTC,2022-03-20 00:00:00,3936
BTC,2022-03-19 23:00:00,3951
BTC,2022-03-19 22:00:00,5645
BTC,2022-03-19 21:00:00,9060
BTC,2022-03-19 20:00:00,6883
BTC,2022-03-19 19:00:00,5935
BTC,2022-03-19 18:00:00,6072
BTC,2022-03-19 17:00:00,8110
BTC,2022-03-19 16:00:00,6681
BTC,2022-03-19 15:00:00,5414
BTC,2022-03-19 14:00:00,4849
BTC,2022-03-19 13:00:00,4886
BTC,2022-03-19 12:00:00,3758
BTC,2022-03-19 11:00:00,4777
BTC,2022-03-19 10:00:00,3597
BTC,2022-03-19 09:00:00,3453
BTC,2022-03-19 08:00:00,3380
BTC,2022-03-19 07:00:00,3125
BTC,2022-03-19 06:00:00,3109
BTC,2022-03-19 05:00:00,3157
BTC,2022-03-19 04:00:00,3359
BTC,2022-03-19 03:00:00,3437
BTC,2022-03-19 02:00:00,3277
BTC,2022-03-19 01:00:00,3243
BTC,2022-03-19 00:00:00,3439
BTC,2022-03-18 23:00:00,4117
BTC,2022-03-18 22:00:00,6526
BTC,2022-03-18 21:00:00,6533
BTC,2022-03-18 20:00:00,8630
BTC,2022-03-18 19:00:00,6459
BTC,2022-03-18 18:00:00,5617
BTC,2022-03-18 17:00:00,8348
BTC,2022-03-18 16:00:00,6598
BTC,2022-03-18 15:00:00,8593
BTC,2022-03-18 14:00:00,5640
BTC,2022-03-18 13:00:00,4461
BTC,2022-03-18 12:00:00,5022
BTC,2022-03-18 11:00:00,6635
BTC,2022-03-18 10:00:00,4975
BTC,2022-03-18 09:00:00,5361
BTC,2022-03-18 08:00:00,4320
BTC,2022-03-18 07:00:00,3292
BTC,2022-03-18 06:00:00,3195
BTC,2022-03-18 05:00:00,3434
BTC,2022-03-18 04:00:00,3624
BTC,2022-03-18 03:00:00,3368
BTC,2022-03-18 02:00:00,3275
BTC,2022-03-18 01:00:00,4117
BTC,2022-03-18 00:00:00,3933
BTC,2022-03-17 23:00:00,4248
BTC,2022-03-17 22:00:00,4833
BTC,2022-03-17 21:00:00,4763
BTC,2022-03-17 20:00:00,6884
BTC,2022-03-17 19:00:00,6700
BTC,2022-03-17 18:00:00,4967
BTC,2022-03-17 17:00:00,7487
BTC,2022-03-17 16:00:00,6291
BTC,2022-03-17 15:00:00,6754
BTC,2022-03-17 14:00:00,8022
BTC,2022-03-17 13:00:00,6009
BTC,2022-03-17 12:00:00,5100
BTC,2022-03-17 11:00:00,6074
BTC,2022-03-17 10:00:00,4991
BTC,2022-03-17 09:00:00,4164
BTC,2022-03-17 08:00:00,4035
BTC,2022-03-17 07:00:00,4113
BTC,2022-03-17 06:00:00,3945
BTC,2022-03-17 05:00:00,4031
BTC,2022-03-17 04:00:00,3654
BTC,2022-03-17 03:00:00,3598
BTC,2022-03-17 02:00:00,3145
BTC,2022-03-17 01:00:00,3665
BTC,2022-03-17 00:00:00,4324
BTC,2022-03-16 23:00:00,5229
BTC,2022-03-16 22:00:00,5279
BTC,2022-03-16 21:00:00,9596
BTC,2022-03-16 20:00:00,7580
BTC,2022-03-16 19:00:00,9928
BTC,2022-03-16 18:00:00,7713
BTC,2022-03-16 17:00:00,10993
BTC,2022-03-16 16:00:00,8002
BTC,2022-03-16 15:00:00,9795
BTC,2022-03-16 14:00:00,7696
BTC,2022-03-16 13:00:00,9118
BTC,2022-03-16 12:00:00,6489
BTC,2022-03-16 11:00:00,8125
BTC,2022-03-16 10:00:00,6205
BTC,2022-03-16 09:00:00,5202
BTC,2022-03-16 08:00:00,5678
BTC,2022-03-16 07:00:00,4702
BTC,2022-03-16 06:00:00,4254
BTC,2022-03-16 05:00:00,4685
BTC,2022-03-16 04:00:00,5998
BTC,2022-03-16 03:00:00,6176
